City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dudinka,69.4058,86.1778,291.83,39,15,7.37,RU,1691032175
83,aginskoye,51.1,114.53,296.75,40,100,7.72,RU,1691032175
84,belokurikha,51.9959,84.9896,297.16,56,100,0.81,RU,1691032176
85,port lincoln,-34.7333,135.8667,294.64,43,76,11.87,AU,1691032176
86,happy valley-goose bay,53.3168,-60.3315,283.35,94,38,1.54,CA,1691032176
87,nar'yan-mar,67.6713,53.087,294.48,61,4,3.1,RU,1691032177
88,codrington,-38.2667,141.9667,289.71,65,90,8.84,AU,1691032177
89,stanley,54.868,-1.6985,284.2,93,20,3.6,GB,1691032177
90,college,64.8569,-147.8028,300.12,37,75,4.12,US,1691032177
91,az zulfi,26.2995,44.8154,304.17,15,1,3.73,SA,1691032178
92,yichang,30.7144,111.2847,306.3,59,2,1.7,CN,1691032178
93,egilsstadir,65.2653,-14.3948,279.2,98,85,0.57,IS,1691032178
94,baiti,13.745,-14.7482,298.54,92,100,2.27,SN,1691032178
95,chino valley,34.7575,-112.4538,300.16,42,0,1.54,US,1691032178
96,taulaga,-11.0553,-171.0883,301.22,77,37,5.59,AS,1691032179
97,kudahuvadhoo,2.6708,72.8944,301.08,68,75,1.27,MV,1691032179
98,port elizabeth,-33.918,25.5701,287.62,42,0,4.45,ZA,1691032065
99,manakara,-22.1333,48.0167,292.61,83,99,5.3,MG,1691032179
100,pregnana milanese,45.516,9.007,296.35,79,83,1.19,IT,1691032180
101,kamenka,51.3223,42.7678,291.31,83,97,3.67,RU,1691032180
102,itoman,26.1247,127.6694,302.16,84,75,15.43,JP,1691032180
103,male,4.1748,73.5089,300.96,74,70,2.86,MV,1691032181
104,usakos,-22.0,15.6,286.74,19,0,4.25,NA,1691032181
105,alice springs,-23.7,133.8833,298.9,24,3,5.14,AU,1691032181
106,enewetak,11.3474,162.3373,301.85,77,82,5.32,MH,1691032181
107,villamontes,-21.25,-63.5,295.32,40,0,2.07,BO,1691032182
108,bilajer,40.5681,50.0378,300.05,78,20,4.12,AZ,1691032182
109,touros,-5.1989,-35.4608,297.53,86,3,4.69,BR,1691032134
110,garoowe,8.4054,48.4845,297.87,58,95,10.14,SO,1691032182
111,semirara,12.0697,121.3986,301.48,82,100,9.37,PH,1691032182
112,fort bragg,35.139,-79.006,296.38,70,0,1.54,US,1691031978
113,kota belud,6.351,116.4305,300.43,80,100,1.1,MY,1691032183
114,sumenep,-7.0167,113.8667,302.78,63,28,6.67,ID,1691032183
115,kaithal,29.8,76.3833,303.97,65,55,1.34,IN,1691032183
116,rexburg,43.826,-111.7897,291.14,74,20,2.06,US,1691031960
117,watsa,3.0372,29.5355,290.49,96,100,1.41,CD,1691032122
118,gamba,-2.65,10.0,293.07,86,100,0.78,GA,1691032184
119,nabire,-3.3667,135.4833,303.3,65,52,2.2,ID,1691032184
120,vadso,70.0744,29.7487,292.64,82,0,5.66,NO,1691032184
121,san antonio de pale,-1.4014,5.6325,295.14,79,98,3.81,GQ,1691032185
122,badger,64.8,-147.5333,300.08,35,75,4.12,US,1691032185
123,carutapera,-1.195,-46.02,297.58,92,5,2.55,BR,1691032185
124,mazagao,-0.115,-51.2894,302.18,90,37,2.35,BR,1691032185
125,kingston,17.997,-76.7936,302.68,84,40,1.54,JM,1691031949
126,smithers,54.7804,-127.1743,290.47,74,88,0.75,CA,1691032186
127,privolzhskiy,51.4,46.0333,294.43,74,98,3.24,RU,1691032186
128,crane,31.3974,-102.3501,305.22,25,6,8.53,US,1691032186
129,tazovsky,67.4667,78.7,288.5,55,9,4.71,RU,1691032186
130,colares,38.7992,-9.4469,292.78,72,11,9.83,PT,1691032187
131,mohr,54.3528,9.7167,289.84,94,72,2.57,DE,1691032187
132,ubinskoye,55.3068,79.6802,294.67,71,99,1.55,RU,1691032187
133,east london,-33.0153,27.9116,288.8,37,0,3.96,ZA,1691032187
134,tamanrasset,22.785,5.5228,297.1,43,40,1.54,DZ,1691032188
135,yinzhu,35.8786,119.9753,302.54,75,1,5.47,CN,1691032188
136,wakkanai,45.4094,141.6739,293.78,98,100,7.66,JP,1691032188
137,las tablas,7.7667,-80.2833,299.91,99,98,2.31,PA,1691032188
138,afonso bezerra,-5.4983,-36.5056,296.78,81,12,7.79,BR,1691032189
139,pirapora,-17.345,-44.9419,291.38,42,0,0.72,BR,1691032189
140,gadzhiyevo,69.2551,33.3362,290.59,69,15,3.18,RU,1691032189
141,ostersund,63.1792,14.6357,284.4,100,94,3.09,SE,1691032189
142,wad medani,14.4012,33.5199,299.15,69,99,5.62,SD,1691031923
143,rosetta,31.4044,30.4164,298.76,69,0,2.21,EG,1691032190
144,takab,36.4009,47.1133,295.31,26,0,1.4,IR,1691032190
145,thompson,55.7435,-97.8558,292.24,82,75,3.09,CA,1691032190
146,macapa,0.0389,-51.0664,302.14,84,40,4.96,BR,1691032191
147,queenstown,-31.8976,26.8753,279.75,51,0,2.77,ZA,1691032145
148,carauari,-4.8828,-66.8958,298.83,75,85,0.56,BR,1691031922
149,jalalabad,34.4265,70.4515,307.17,44,0,1.11,AF,1691032191
150,makinsk,52.6292,70.4169,294.72,62,4,4.03,KZ,1691032192
151,lerwick,60.1545,-1.1494,286.15,94,78,5.49,GB,1691032192
152,reggane,26.7158,0.1714,312.78,9,71,8.18,DZ,1691032192
153,argo,37.6333,22.7333,296.36,54,0,1.79,GR,1691032192
154,olonkinbyen,70.9221,-8.7187,279.55,81,100,3.02,SJ,1691032193
155,fort st. john,56.2499,-120.8529,285.09,94,100,1.54,CA,1691032193
156,mil'kovo,55.6078,37.7956,291.42,87,43,1.62,RU,1691032193
157,barcelos,41.5388,-8.6151,289.09,94,3,2.62,PT,1691032193
158,sovetskaya gavan',48.9723,140.2878,290.57,69,100,5.83,RU,1691032193
159,kourou,5.1552,-52.6478,297.18,88,33,3.75,GF,1691032194
160,banlung,13.7468,107.0045,295.81,100,100,0.81,KH,1691032194
161,el alto,-4.2714,-81.2147,293.24,86,18,6.93,PE,1691032194
162,baie-saint-paul,47.4411,-70.4986,288.23,82,72,2.68,CA,1691032194
163,gulf shores,30.246,-87.7008,303.15,71,0,0.0,US,1691032195
164,derzhavinsk,51.1,66.3167,297.8,49,15,6.16,KZ,1691032195
165,onega,63.9061,38.1404,290.81,81,39,2.66,RU,1691032110
166,kalemie,-5.9475,29.1947,296.72,59,96,6.2,CD,1691032195
167,sinabang,2.4803,96.3801,301.84,69,92,1.43,ID,1691032196
168,margaret river,-33.95,115.0667,284.41,61,90,3.67,AU,1691032196
169,awjilah,29.1081,21.2869,300.47,47,0,3.69,LY,1691032196
170,st. john's,47.5649,-52.7093,290.46,93,100,5.66,CA,1691032196
171,bikenibeu village,1.3673,173.1241,304.13,70,40,2.06,KI,1691032197
172,selfoss,63.9331,-20.9971,282.06,86,6,3.34,IS,1691032197
173,rongelap,11.1635,166.8941,301.79,76,12,5.7,MH,1691032197
174,acarau,-2.8856,-40.12,298.6,86,7,6.75,BR,1691032197
175,newport,51.5877,-2.9984,289.72,85,97,2.05,GB,1691032198
176,avarua,-21.2078,-159.775,297.18,88,75,4.12,CK,1691032198
177,alaghsas,17.0187,8.0168,304.87,42,100,6.02,NE,1691032198
178,punta alta,-38.8759,-62.0736,278.75,63,4,1.13,AR,1691032198
179,puerto ayacucho,5.6639,-67.6236,297.49,91,99,0.72,VE,1691032199
180,qui nhon,13.7667,109.2333,303.2,65,100,5.38,VN,1691032199
181,namie,37.4833,141.0,309.1,62,31,0.45,JP,1691032199
182,san nicolas,18.1725,120.5953,301.3,85,100,10.05,PH,1691032199
183,celestun,20.8667,-90.4,301.76,67,30,5.6,MX,1691032199
184,callao,-12.0667,-77.15,294.31,73,100,5.66,PE,1691032152
185,ubajara,-3.8544,-40.9211,291.25,78,25,0.37,BR,1691032201
186,greenville,35.6127,-77.3663,295.12,79,0,0.0,US,1691032176
187,la'ie,21.6477,-157.9253,303.13,67,4,0.45,US,1691032201
188,basco,20.4487,121.9702,300.99,88,76,15.87,PH,1691032203
189,ust'-kalmanka,52.1207,83.305,300.12,44,85,1.64,RU,1691032204
190,puerto rico,-26.796,-55.024,289.27,79,2,1.36,AR,1691032205
191,namdrik,5.5994,168.1028,301.85,74,15,2.22,MH,1691032208
192,ust-nera,64.5667,143.2,292.49,36,89,1.72,RU,1691032211
193,cova figueira,14.8905,-24.2934,296.24,84,42,4.07,CV,1691032212
194,collie,-33.3667,116.15,283.97,59,8,3.28,AU,1691032212
195,kone,-21.0595,164.8658,294.81,58,98,3.43,NC,1691032212
196,al jawf,29.5,38.75,298.23,30,0,5.12,SA,1691032213
197,kaa-khem,51.6833,94.7333,296.54,56,61,1.19,RU,1691032213
198,shalqar,47.8333,59.6,299.08,43,0,4.97,KZ,1691032213
199,winkler,49.1817,-97.941,298.25,34,87,3.7,CA,1691032213
200,pingzhuang,42.0372,119.2889,308.58,42,86,4.35,CN,1691032215
201,coracora,-15.0333,-73.7833,282.68,62,52,3.66,PE,1691032216
202,polyarnyy,69.1989,33.4478,290.56,70,14,3.3,RU,1691032217
203,sandnessjoen,66.0217,12.6316,289.21,77,75,8.23,NO,1691032217
204,ishim,56.1128,69.4902,293.52,79,74,2.63,RU,1691032218
205,siwa oasis,29.2041,25.5195,301.94,39,0,3.45,EG,1691032218
206,fruita,39.1589,-108.729,295.07,61,100,9.26,US,1691032218
207,holualoa,19.6228,-155.9522,300.06,85,75,5.14,US,1691032218
208,burang,30.25,81.1667,285.97,71,96,1.98,CN,1691032219
209,machico,32.7,-16.7667,298.5,73,20,6.69,PT,1691032219
210,kodiak,57.79,-152.4072,285.88,88,0,3.09,US,1691032219
211,tromso,69.6496,18.957,292.8,77,100,1.03,NO,1691032219
212,tralee,52.2704,-9.7026,286.9,92,100,6.88,IE,1691032219
213,lokomotivnyy,53.0118,60.5684,291.71,82,19,3.58,RU,1691032220
214,hoi an,15.8794,108.335,304.13,78,100,3.82,VN,1691032220
215,cadale,2.7603,46.3222,297.86,84,100,7.24,SO,1691032220
216,fort mcmurray,56.7268,-111.381,291.51,71,100,1.05,CA,1691032220
217,amasra,41.7463,32.3863,291.18,64,54,2.15,TR,1691032220
218,timimoun,29.2639,0.231,308.62,11,0,4.24,DZ,1691032221
219,dongola,19.1667,30.4833,304.7,44,42,8.09,SD,1691032221
220,tselinnoye,53.0833,85.6667,298.31,52,100,3.34,RU,1691032221
221,suva,-18.1416,178.4415,296.86,83,75,6.17,FJ,1691032222
222,kapa'a,22.0752,-159.319,302.33,74,20,7.72,US,1691032222
223,nadym,65.5333,72.5167,296.71,54,7,5.9,RU,1691032222
224,savannakhet,16.566,104.751,297.59,95,100,5.13,LA,1691032222
225,namibe,-15.1961,12.1522,291.03,83,2,2.59,AO,1691032223
226,mbandaka,0.0487,18.2603,296.29,71,99,1.38,CD,1691032223
227,akureyri,65.6835,-18.0878,281.62,93,75,1.15,IS,1691032223
228,naryshkino,52.9678,35.7268,290.78,89,0,1.62,RU,1691032224
229,garissa,-0.4536,39.6401,294.97,83,96,5.46,KE,1691032224
230,sars,56.5502,57.1366,291.05,88,13,0.89,RU,1691032224
231,kruisfontein,-34.0033,24.7314,285.2,35,2,4.39,ZA,1691032224
232,solnechnyy,50.7214,136.6319,294.11,47,73,3.81,RU,1691032225
233,mao,39.8885,4.2658,299.46,94,40,3.6,ES,1691032225
234,punta arenas,-53.15,-70.9167,277.16,94,100,11.03,CL,1691032225
235,geraldton,-28.7667,114.6,288.38,72,40,5.66,AU,1691032225
236,amga,60.8953,131.9608,295.45,43,34,0.7,RU,1691032225
237,vila franca do campo,37.7167,-25.4333,296.38,93,100,1.96,PT,1691032226
238,masjed soleyman,31.9364,49.3039,310.47,10,0,2.84,IR,1691032226
239,ndende,-2.4008,11.3581,292.8,84,55,1.14,GA,1691032226
240,bardai,11.65,7.2333,294.9,93,94,3.77,NG,1691032226
241,mirnyy,62.5353,113.9611,294.95,56,88,3.13,RU,1691032227
242,nguigmi,14.2495,13.1092,303.08,52,25,5.79,NE,1691032227
243,tazacorte,28.629,-17.9293,296.69,78,100,7.72,ES,1691032227
244,sibut,5.718,19.0739,294.73,98,100,2.24,CF,1691032227
245,trairi,-3.2778,-39.2689,298.45,87,19,5.2,BR,1691032228
246,qarauyl,48.9451,79.255,292.51,74,39,2.65,KZ,1691032228
247,ciudad acuna,29.3232,-100.9522,309.31,30,0,3.6,MX,1691032228
248,westport,41.1415,-73.3579,295.05,71,0,4.12,US,1691032228
249,qaqortoq,60.7167,-46.0333,279.04,87,90,2.94,GL,1691032228
250,nacimiento,-37.5,-72.6667,277.81,76,15,3.7,CL,1691032229
251,chake chake,-5.2459,39.7666,295.72,88,66,4.82,TZ,1691032229
252,porto,41.1496,-8.611,288.73,87,0,3.13,PT,1691032229
253,zadawa,11.4496,10.3672,297.98,78,100,2.91,NG,1691032229
254,kirensk,57.7853,108.1119,296.82,38,0,4.03,RU,1691032230
255,pearsall,28.8922,-99.095,306.81,48,11,9.1,US,1691031984
256,veraval,20.9,70.3667,299.85,86,100,7.76,IN,1691032230
257,port-vila,-17.7338,168.3219,297.07,78,99,8.59,VU,1691032230
258,newman,37.3138,-121.0208,300.53,58,1,0.89,US,1691032230
259,yen vinh,18.6667,105.6667,299.3,90,100,2.25,VN,1691032231
260,umluj,25.0213,37.2685,302.69,60,5,3.2,SA,1691032231
261,anadyr,64.75,177.4833,286.43,82,40,12.0,RU,1691032231
262,dakoro,14.5106,6.765,301.17,62,45,7.34,NE,1691032231
263,richards bay,-28.783,32.0377,286.65,81,0,3.57,ZA,1691032232
